Name;Link;Price Dollars;Price UAH;Run
Toyota Camry FULL;https://auto.ria.com/uk/auto_toyota_camry_29540185.html;9 950;275 217; 221 עטס. ךל 
Toyota Camry Premium;https://auto.ria.com/uk/auto_toyota_camry_28873210.html;28 541;789 450; 71 עטס. ךל 
Toyota Camry RESTAYLING;https://auto.ria.com/uk/auto_toyota_camry_30216570.html;8 200;226 812; 167 עטס. ךל 
Toyota RAV4 OFUCIAL;https://auto.ria.com/uk/auto_toyota_rav4_30214803.html;15 850;438 411; 88 עטס. ךל 
Toyota Camry Sport SE;https://auto.ria.com/uk/auto_toyota_camry_29896396.html;20 900;578 094; 60 עטס. ךל 
Toyota Land Cruiser Prado 120 4.0 Maximal;https://auto.ria.com/uk/auto_toyota_land_cruiser_prado_120_30216799.html;19 900;550 434; 200 עטס. ךל 
Toyota Camry PRESTIGE;https://auto.ria.com/uk/auto_toyota_camry_29739231.html;16 200;448 092; 156 עטס. ךל 
Toyota Land Cruiser 200;https://auto.ria.com/uk/auto_toyota_land_cruiser_200_30218608.html;80 000;2 212 800; 45 עטס. ךל 
Toyota Corolla S;https://auto.ria.com/uk/auto_toyota_corolla_28299481.html;12 000;331 920; 130 עטס. ךל 
Toyota Camry;https://auto.ria.com/uk/auto_toyota_camry_30170508.html;27 100;749 586; 24 עטס. ךל 
Toyota Camry FULL;https://auto.ria.com/uk/auto_toyota_camry_29540185.html;9 950;275 217; 221 עטס. ךל 
Toyota Camry Premium;https://auto.ria.com/uk/auto_toyota_camry_28873210.html;28 541;789 450; 71 עטס. ךל 
Toyota Camry RESTAYLING;https://auto.ria.com/uk/auto_toyota_camry_30216570.html;8 200;226 812; 167 עטס. ךל 
Toyota RAV4 OFUCIAL;https://auto.ria.com/uk/auto_toyota_rav4_30214803.html;15 850;438 411; 88 עטס. ךל 
Toyota Camry Sport SE;https://auto.ria.com/uk/auto_toyota_camry_29896396.html;20 900;578 094; 60 עטס. ךל 
Toyota Land Cruiser Prado 120 4.0 Maximal;https://auto.ria.com/uk/auto_toyota_land_cruiser_prado_120_30216799.html;19 900;550 434; 200 עטס. ךל 
Toyota Camry PRESTIGE;https://auto.ria.com/uk/auto_toyota_camry_29739231.html;16 200;448 092; 156 עטס. ךל 
Toyota Land Cruiser 200;https://auto.ria.com/uk/auto_toyota_land_cruiser_200_30218608.html;80 000;2 212 800; 45 עטס. ךל 
Toyota Corolla S;https://auto.ria.com/uk/auto_toyota_corolla_28299481.html;12 000;331 920; 130 עטס. ךל 
Toyota Camry;https://auto.ria.com/uk/auto_toyota_camry_30170508.html;27 100;749 586; 24 עטס. ךל 
Toyota Camry FULL;https://auto.ria.com/uk/auto_toyota_camry_29540185.html;9 950;275 217; 221 עטס. ךל 
Toyota Camry Premium;https://auto.ria.com/uk/auto_toyota_camry_28873210.html;28 541;789 450; 71 עטס. ךל 
Toyota Camry RESTAYLING;https://auto.ria.com/uk/auto_toyota_camry_30216570.html;8 200;226 812; 167 עטס. ךל 
Toyota RAV4 OFUCIAL;https://auto.ria.com/uk/auto_toyota_rav4_30214803.html;15 850;438 411; 88 עטס. ךל 
Toyota Camry Sport SE;https://auto.ria.com/uk/auto_toyota_camry_29896396.html;20 900;578 094; 60 עטס. ךל 
Toyota Land Cruiser Prado 120 4.0 Maximal;https://auto.ria.com/uk/auto_toyota_land_cruiser_prado_120_30216799.html;19 900;550 434; 200 עטס. ךל 
Toyota Camry PRESTIGE;https://auto.ria.com/uk/auto_toyota_camry_29739231.html;16 200;448 092; 156 עטס. ךל 
Toyota Land Cruiser 200;https://auto.ria.com/uk/auto_toyota_land_cruiser_200_30218608.html;80 000;2 212 800; 45 עטס. ךל 
Toyota Corolla S;https://auto.ria.com/uk/auto_toyota_corolla_28299481.html;12 000;331 920; 130 עטס. ךל 
Toyota Camry;https://auto.ria.com/uk/auto_toyota_camry_30170508.html;27 100;749 586; 24 עטס. ךל 
